code,party,votes,percentage,seats
0096,PSOE,7388321,28.69,123
0083,PP,4295529,16.68,66
0022,Cs,4078481,15.84,57
0077,PODEMOS-IU-EQUO,3075372,11.94,35
0117,VOX,2641231,10.26,24
0037,ERC-SOBIRANISTES,1004628,3.9,15
0032,ECP-GUANYEM EL CANVI,608811,2.36,7
0049,JxCAT-JUNTS,492713,1.91,7
0027,EAJ-PNV,394290,1.53,6
0033,EH Bildu,258529,1,4
0015,CCa-PNC,130127,0.51,2
0052,NA+,106915,0.42,2
0020,COMPROMÍS 2019,169465,0.66,1
0090,PRC,51849,0.2,1
