territory_id,comunidad_code,province_code,province_name,poll_boxes,census_total,census_counted,census_counted_percentage,voters,voters_percentage,abstention,abstention_percentage,blank_votes,blank_votes_percentage,null_votes,null_votes_percentage,deputies_total,code 1,party 1,votes 1,percentage 1,seats 1,code 2,party 2,votes 2,percentage 2,seats 2,code 3,party 3,votes 3,percentage 3,seats 3,code 4,party 4,votes 4,percentage 4,seats 4
CI,08,40,Segovia,00332,00116338,00020212,01737,00016401,08114,00003811,01886,00000141,00087,00000246,00150,003,0083,PP,00005444,03370,001,0096,PSOE,00004158,02574,001,0022,Cs,00002806,01737,001,,,,,
CI,08,42,Soria,00254,00069998,00015416,02202,00011624,07540,00003792,02460,00000156,00136,00000160,00138,002,0083,PP,00003865,03371,001,0096,PSOE,00003107,02710,001,,,,,,,,,,
CI,08,47,Valladolid,00829,00421116,00113102,02686,00090806,08029,00022296,01971,00000732,00081,00000982,00108,005,0096,PSOE,00026152,02911,002,0083,PP,00022461,02501,001,0022,Cs,00016891,01880,001,0117,VOX,00012302,01370,001
CI,08,49,Zamora,00383,00149018,00031625,02122,00023745,07508,00007880,02492,00000218,00093,00000353,00149,003,0083,PP,00008274,03537,002,0096,PSOE,00007065,03020,001,,,,,,,,,,
CI,09,08,Barcelona,05970,03994858,00212337,00532,00162155,07637,00050182,02363,00000946,00059,00000746,00046,032,0092,PSC,00041984,02601,009,0037,ERC-SOBIRANISTES,00035672,02210,008,0032,ECP-GUANYEM EL CANVI,00026144,01620,006,0022,Cs,00018621,01154,004
CI,09,17,Girona,00830,00504520,00069968,01387,00053575,07657,00016393,02343,00000296,00056,00000318,00059,006,0037,ERC-SOBIRANISTES,00016884,03170,003,0049,JxCAT-JUNTS,00012660,02377,002,0092,PSC,00008492,01595,001,,,,,
CI,09,25,Lleida,00563,00297847,00038521,01293,00028990,07526,00009531,02474,00000212,00074,00000171,00059,004,0037,ERC-SOBIRANISTES,00010063,03492,002,0049,JxCAT-JUNTS,00006750,02342,001,0092,PSC,00004584,01591,001,,,,,
CI,09,43,Tarragona,01010,00554049,00068328,01233,00050927,07453,00017401,02547,00000280,00055,00000319,00063,006,0037,ERC-SOBIRANISTES,00014902,02945,002,0092,PSC,00010840,02142,001,0049,JxCAT-JUNTS,00006545,01293,001,0032,ECP-GUANYEM EL CANVI,00005735,01133,001
CI,10,06,Badajoz,00898,00543961,00063707,01171,00047328,07429,00016379,02571,00000418,00090,00000781,00165,006,0096,PSOE,00020727,04453,004,0083,PP,00008934,01919,001,0022,Cs,00007458,01602,001,,,,,
CI,10,10,Cáceres,00513,00329040,00024749,00752,00018600,07515,00006149,02485,00000136,00074,00000294,00158,004,0096,PSOE,00008059,04402,003,0083,PP,00004248,02321,001,,,,,,,,,,
CI,11,15,A Coruña,01538,00929193,00147424,01587,00104036,07057,00043388,02943,00001206,00118,00001624,00156,008,0083,PP,00033138,03236,003,0093,PSdeG-PSOE,00032118,03136,003,0075,PODEMOS-EU-MAREAS EN COMÚN-EQUO,00012183,01190,001,0022,Cs,00009383,00916,001
CI,11,27,Lugo,00541,00278299,00065770,02363,00046896,07130,00018874,02870,00000533,00116,00000940,00200,004,0083,PP,00018419,04008,002,0093,PSdeG-PSOE,00014873,03236,002,,,,,,,,,,
CI,11,32,Ourense,00542,00260517,00056837,02182,00041114,07234,00015723,02766,00000376,00093,00000467,00114,004,0083,PP,00017721,04360,002,0093,PSdeG-PSOE,00012335,03035,002,,,,,,,,,,
CI,11,36,Pontevedra,01335,00773722,00074357,00961,00054272,07299,00020085,02701,00000513,00096,00000916,00169,007,0093,PSdeG-PSOE,00016982,03183,003,0083,PP,00016644,03119,003,0075,PODEMOS-EU-MAREAS EN COMÚN-EQUO,00007746,01452,001,,,,,
CI,12,28,Madrid,07590,04748680,00094300,00199,00070377,07463,00023923,02537,00000470,00067,00000625,00089,037,0096,PSOE,00022289,03195,013,0022,Cs,00012971,01860,007,0077,PODEMOS-IU-EQUO,00012559,01801,007,0083,PP,00011485,01647,006
CI,13,31,Navarra,00976,00485143,00089443,01844,00067076,07499,00022367,02501,00000692,00104,00000779,00116,005,0052,NA+,00019785,02984,002,0096,PSOE,00017772,02681,002,0079,PODEMOS-IU-EQUO-BATZARRE,00011534,01740,001,,,,,
CI,14,01,Araba / Álava,00425,00250902,00032242,01285,00022612,07013,00009630,02987,00000154,00069,00000247,00109,004,0027,EAJ-PNV,00005443,02434,001,0094,PSE-EE (PSOE),00005107,02283,001,0080,PODEMOS-IU-EQUO BERDEAK,00003640,01628,001,0083,PP,00003160,01413,001
CI,14,20,Gipuzkoa,00846,00564655,00207392,03673,00152828,07369,00054564,02631,00000893,00059,00000941,00062,006,0027,EAJ-PNV,00046426,03057,002,0033,EH Bildu,00038570,02539,002,0094,PSE-EE (PSOE),00026443,01741,001,0080,PODEMOS-IU-EQUO BERDEAK,00025366,01670,001
CI,14,48,Bizkaia,01396,00909955,00428440,04708,00321554,07505,00106886,02495,00002121,00066,00002122,00066,008,0027,EAJ-PNV,00107132,03354,003,0094,PSE-EE (PSOE),00065655,02055,002,0080,PODEMOS-IU-EQUO BERDEAK,00056758,01777,002,0033,EH Bildu,00042166,01320,001
CI,15,30,Murcia,01687,01024579,00103107,01006,00074278,07204,00028829,02796,00000489,00067,00000805,00108,010,0096,PSOE,00018901,02573,003,0083,PP,00016275,02215,002,0117,VOX,00014417,01962,002,0022,Cs,00014211,01934,002
CI,16,26,La Rioja,00501,00233631,00035871,01535,00027826,07757,00008045,02243,00000194,00071,00000367,00132,004,0096,PSOE,00008851,03223,002,0083,PP,00007874,02868,001,0022,Cs,00004448,01620,001,,,,,
CI,17,03,Alicante / Alacant,02222,01235120,00070319,00569,00049655,07061,00020664,02939,00000331,00067,00000525,00106,012,0096,PSOE,00015209,03096,004,0083,PP,00009249,01883,003,0022,Cs,00008645,01760,002,0076,PODEMOS-EUPV,00006847,01394,002
CI,17,12,Castellón / Castelló,00715,00410605,00033328,00812,00025416,07626,00007912,02374,00000186,00074,00000321,00126,005,0096,PSOE,00007698,03068,002,0083,PP,00005676,02262,001,0022,Cs,00003572,01423,001,0076,PODEMOS-EUPV,00003289,01311,001
CI,17,46,Valencia / València,03107,01902970,00070877,00372,00053040,07483,00017837,02517,00000373,00071,00000585,00110,015,0096,PSOE,00015087,02876,005,0083,PP,00009708,01851,003,0022,Cs,00008294,01581,002,0076,PODEMOS-EUPV,00007251,01382,002
CI,18,51,Ceuta,00096,00059935,00002503,00418,00001519,06069,00000984,03931,00000016,00107,00000021,00138,001,0096,PSOE,00000562,03752,001,,,,,,,,,,,,,,,
CI,19,52,Melilla,00087,00054124,00000000,00000,00000000,00000,00000000,00000,00000000,00000,00000000,00000,001,,,,,,,,,,,,,,,,,,,,
