territory_id,comunidad_code,province_code,province_name,poll_boxes,census_total,census_counted,census_counted_percentage,voters,voters_percentage,abstention,abstention_percentage,blank_votes,blank_votes_percentage,null_votes,null_votes_percentage,deputies_total,code 1,party 1,votes 1,percentage 1,seats 1,code 2,party 2,votes 2,percentage 2,seats 2,code 3,party 3,votes 3,percentage 3,seats 3,code 4,party 4,votes 4,percentage 4,seats 4
CI,11,36,Pontevedra,01335,00772686,00765217,09903,00574564,07509,00190653,02491,00005208,00092,00008504,00148,007,0093,PSdeG-PSOE,00182815,03230,003,0083,PP,00141468,02499,002,0075,PODEMOS-EU-MAREAS EN COMÚN-EQUO,00099182,01752,001,0022,Cs,00062630,01106,001
CI,12,28,Madrid,07590,04748911,04666688,09827,03720358,07972,00946330,02028,00024022,00065,00030900,00083,037,0096,PSOE,01008259,02733,011,0022,Cs,00771937,02092,008,0083,PP,00685403,01858,007,0077,PODEMOS-IU-EQUO,00599822,01626,006
CI,13,31,Navarra,00976,00483727,00482546,09976,00368139,07629,00114407,02371,00003746,00103,00003681,00100,005,0052,NA+,00106915,02934,002,0096,PSOE,00093841,02575,002,0079,PODEMOS-IU-EQUO-BATZARRE,00067946,01864,001,,,,,
CI,14,01,Araba / Álava,00425,00250908,00250908,10000,00178613,07119,00072295,02881,00001064,00060,00001828,00102,004,0027,EAJ-PNV,00040199,02274,001,0094,PSE-EE (PSOE),00039595,02240,001,0080,PODEMOS-IU-EQUO BERDEAK,00031346,01773,001,0033,EH Bildu,00024687,01396,001
CI,14,20,Gipuzkoa,00846,00557347,00553671,09934,00409989,07405,00143682,02595,00002401,00059,00002432,00059,006,0027,EAJ-PNV,00118769,02914,002,0033,EH Bildu,00095699,02348,002,0094,PSE-EE (PSOE),00076528,01878,001,0080,PODEMOS-IU-EQUO BERDEAK,00070245,01724,001
CI,14,48,Bizkaia,01396,00910008,00910008,10000,00689430,07576,00220578,02424,00004504,00066,00004737,00069,008,0027,EAJ-PNV,00235322,03437,003,0094,PSE-EE (PSOE),00136037,01987,002,0080,PODEMOS-IU-EQUO BERDEAK,00121228,01771,002,0033,EH Bildu,00091612,01338,001
CI,15,30,Murcia,01687,01024628,01017958,09935,00770201,07566,00247757,02434,00004737,00062,00008241,00107,010,0096,PSOE,00188650,02476,003,0083,PP,00178333,02340,002,0022,Cs,00148992,01955,002,0117,VOX,00142021,01864,002
CI,16,26,La Rioja,00501,00233639,00232891,09968,00181918,07811,00050973,02189,00001448,00081,00002499,00137,004,0096,PSOE,00056855,03169,002,0083,PP,00047673,02657,001,0022,Cs,00031944,01780,001,,,,,
CI,17,03,Alicante / Alacant,02222,01234732,01220742,09887,00914170,07489,00306572,02511,00006151,00068,00009974,00109,012,0096,PSOE,00255376,02824,004,0083,PP,00176773,01955,003,0022,Cs,00175022,01936,002,0076,PODEMOS-EUPV,00125795,01391,002
CI,17,12,Castellón / Castelló,00715,00410344,00406589,09908,00313756,07717,00092833,02283,00002273,00073,00003877,00124,005,0096,PSOE,00091263,02945,002,0083,PP,00063261,02042,001,0022,Cs,00050411,01627,001,0076,PODEMOS-EUPV,00043077,01390,001
CI,17,46,Valencia / València,03107,01906274,01853975,09726,01429544,07711,00424431,02289,00008932,00063,00015007,00105,015,0096,PSOE,00384157,02716,004,0083,PP,00248814,01759,003,0022,Cs,00246368,01742,003,0076,PODEMOS-EUPV,00205250,01451,002
CI,18,51,Ceuta,00096,00059960,00059960,10000,00038354,06397,00021606,03603,00000329,00087,00000463,00121,001,0096,PSOE,00013766,03633,001,,,,,,,,,,,,,,,
CI,19,52,Melilla,00087,00054146,00050612,09347,00031743,06272,00018869,03728,00000209,00066,00000297,00098,001,0083,PP,00007412,02358,001,,,,,,,,,,,,,,,
